url_length,domain_length,path_length,count_dots,count_hyphen,count_at,count_question,count_equal,count_digits,count_letters,count_special,has_https,has_ip,subdomain_count,keyword_count,label
39,20,11,2,1,0,0,0,0,31,8,1,0,2,0,1
37,23,6,2,2,0,0,0,0,29,8,1,0,2,0,1
38,23,7,2,2,0,0,0,0,29,9,1,0,2,0,1
45,37,0,2,1,0,0,0,8,31,6,1,0,2,0,1
238,28,18,2,0,0,1,4,35,190,13,1,0,2,0,1
242,28,18,2,0,0,1,2,37,192,13,1,0,2,0,1
43,22,13,2,3,0,0,0,0,33,10,1,0,2,0,1
45,28,10,2,3,0,0,0,0,35,10,0,0,2,0,1
43,25,10,2,2,0,0,0,0,34,9,1,0,2,0,1
35,10,17,1,0,0,0,1,3,22,10,1,0,1,0,1
47,10,29,2,2,0,0,0,2,36,9,1,0,1,0,1
67,19,15,2,0,0,1,1,1,58,8,1,0,1,0,1
66,48,10,4,5,0,0,0,8,45,13,1,0,4,0,1
35,10,17,1,0,0,0,1,2,24,9,1,0,1,0,1
36,12,16,1,0,0,0,0,4,25,7,1,0,1,0,1
65,25,1,2,0,0,1,1,3,54,8,1,0,2,1,1
44,11,25,3,1,0,0,0,2,34,8,1,0,1,0,1
44,25,11,1,0,0,0,0,0,39,5,1,0,1,0,1
36,11,17,3,1,0,0,0,1,27,8,1,0,1,0,1
36,11,17,3,1,0,0,0,1,27,8,1,0,1,0,1
36,17,11,1,0,0,0,0,1,30,5,1,0,1,0,1
39,20,11,1,0,0,0,0,0,34,5,1,0,1,0,1
40,11,21,3,0,0,0,0,3,30,7,1,0,1,0,1
52,10,34,4,0,0,0,0,0,41,11,1,0,1,1,1
47,12,27,3,0,0,0,0,3,37,7,1,0,1,0,1
44,25,11,1,0,0,0,0,3,36,5,1,0,1,0,1
38,16,14,2,0,0,0,0,4,28,6,1,0,1,0,1
33,14,11,2,0,0,0,0,0,27,6,1,0,2,0,1
49,21,17,3,0,0,1,1,0,39,10,1,0,2,0,1
30,21,1,2,0,0,0,0,0,24,6,1,0,2,0,1
48,20,17,3,0,0,1,1,0,38,10,1,0,2,0,1
29,20,1,2,0,0,0,0,0,23,6,1,0,2,0,1
53,25,17,3,0,0,1,1,0,43,10,1,0,2,0,1
34,25,1,2,0,0,0,0,0,28,6,1,0,2,0,1
52,24,17,3,0,0,1,1,0,42,10,1,0,2,0,1
33,24,1,2,0,0,0,0,0,27,6,1,0,2,0,1
36,11,17,3,0,0,0,0,0,29,7,1,0,1,0,1
50,22,17,3,0,0,1,1,0,40,10,1,0,2,0,1
31,22,1,2,0,0,0,0,0,25,6,1,0,2,0,1
46,10,28,1,0,0,0,0,10,31,5,1,0,1,0,1
31,12,11,1,0,0,0,0,1,25,5,1,0,1,0,1
52,24,17,3,0,0,1,1,0,42,10,1,0,2,0,1
33,24,1,2,0,0,0,0,0,27,6,1,0,2,0,1
34,11,15,2,0,0,0,0,3,25,6,1,0,1,0,1
30,11,11,1,0,0,0,0,0,25,5,1,0,1,0,1
31,12,11,1,0,0,0,0,1,25,5,1,0,1,0,1
42,33,1,5,0,0,0,0,1,32,9,1,0,5,0,1
38,11,19,3,0,0,0,0,2,29,7,1,0,1,0,1
45,17,17,3,0,0,1,1,0,35,10,1,0,2,0,1
26,17,1,2,0,0,0,0,0,20,6,1,0,2,0,1
36,17,11,1,0,0,0,0,3,28,5,1,0,1,0,1
